subject,number,price,number books
biology,89S,0,
biology,154,0,
biology,157,0,
biology,190s,0,
biology,201L,186.75,
biology,202L,,
biology,203L,,
biology,205,,
biology,207,,
biology,209D-2,,
biology,209S-1,,
biology,212L,,
biology,215,,
biology,221D,,
biology,223,,
biology,250,,
biology,255,,
biology,273LA,,
biology,278LA,,
biology,293,,
biology,293-1,,
biology,293A,,
biology,293A-1,,
biology,304,,
biology,319A,,
biology,326S,,
biology,329L,,
biology,335A,,
biology,347L,,
biology,348LS,,
biology,364L,,
biology,365L,,
biology,368L,,
biology,369LA,,
biology,375A,,
biology,391,,
biology,391A,,
biology,415S,,
biology,420,,
biology,425,,
biology,427S,,
biology,432S,,
biology,450S,,
biology,452S,,
biology,453S,,
biology,454S,,
biology,490S,,
biology,491,,
biology,491A,,
biology,493,,
biology,493A,,
biology,495,,
biology,546LS,,
biology,556L,,
biology,557L,,
biology,566S,,
biology,571A,,
biology,665,,
biology,668,,
,,,
chemistry,410,246.75,
chemistry,302,12.75,
chemistry,420L,0,
chemistry,493,0,
chemistry,494,0,
chemistry,496,0,
chemistry,511,0,
chemistry,531,0,
chemistry,533,0,
chemistry,535,0,
chemistry,536,0,
,,,
compsci,223,0,
compsci,201,0,
compsci,216,0,
compsci,230,0,
compsci,250D,0,
compsci,249,0,
compsci,290,0,
compsci,307D,0,
compsci,308,0,
compsci,316,0,
compsci,323D,0,
compsci,330,0,
compsci,350L,0,
compsci,342,0,
compsci,356,0,
compsci,370D,0,
compsci,590,56.25,
,,,
evanth,101,0,
evanth,220,0,
evanth,230,,
evanth,260,,
evanth,285,0,
evanth,330,,
evanth,333L,,
evanth,359S,0,
evanth,580S,0,
evanth,561S,0,
evanth,570S,0,
,,,
math,202D,0,
math,216,120,
math,260,0,
math,240,0,
math,342D,0,
math,304,?,
math,356,?,
math,340,?,
math,401,?,
math,403,?,
math,411,?,
math,421,?,
math,477S,?,
math,453,?,
math,502,?,
,,,
physics,,,